review_id,order_id,customer_id,restaurant_id,food_rating,delivery_rating,overall_rating,review_text,review_date,helpful_votes
REV10029,ORD108238,C13033,R1657,3.4,3.0,2.6,Food was cold and undercooked.,2023-11-24,2
REV10030,ORD149053,C14582,R3752,4.0,2.9,4.1,Portions were generous and flavourful.,2022-04-29,0
REV10031,ORD102906,C18379,R2949,3.9,3.9,3.7,Delivery was late but food was good.,2021-07-07,1
REV10032,ORD143550,C13950,R3798,4.3,3.8,4.3,Great taste and fast delivery.,2023-10-17,6
REV10033,ORD129283,C19095,R1145,3.9,4.1,4.0,"Very fresh ingredients, absolutely delicious.",2021-12-25,0
REV10034,ORD106843,C19656,R2163,4.0,4.7,4.5,"Value for money, loved it.",2022-05-15,4
REV10035,ORD119970,C18478,R2045,4.3,3.8,4.0,"Really loved the food, will order again!",2023-08-11,1
REV10036,ORD145704,C17098,R2075,4.8,3.0,4.0,Quick delivery and tasty food.,2023-07-21,1
REV10037,ORD134963,C10691,R1324,4.2,4.3,4.4,"Authentic flavours, highly recommended.",2021-07-10,7
REV10038,ORD120479,C14862,R2982,4.0,4.1,4.2,"Really loved the food, will order again!",2023-03-17,0
REV10039,ORD144238,C18591,R1959,3.4,4.2,3.6,"Okay experience, may try again.",2021-06-24,4
REV10040,ORD140138,C10123,R1642,4.0,3.3,4.0,Excellent food quality and packaging.,2023-10-14,4
REV10041,ORD115185,C17288,R2501,4.6,3.4,4.3,Great taste and fast delivery.,2021-07-27,3
REV10042,ORD110058,C11175,R3053,4.4,4.3,4.4,Portions were generous and flavourful.,2023-03-30,4
REV10043,ORD120394,C19666,R1971,4.2,3.3,3.7,"Okay experience, may try again.",2022-01-21,1
REV10044,ORD146962,C16538,R3561,3.8,4.2,4.2,Excellent food quality and packaging.,2023-03-30,0
REV10045,ORD118627,C17732,R3037,4.5,4.0,4.7,One of the best in the area!,2021-11-25,6
REV10046,ORD138609,C11319,R3611,4.2,3.2,3.7,"Decent food, nothing extraordinary.",2023-12-09,8
REV10047,ORD123914,C11586,R1171,4.6,4.7,4.6,Quick delivery and tasty food.,2022-09-19,5
REV10048,ORD108753,C10290,R2103,3.8,4.0,4.1,"Authentic flavours, highly recommended.",2023-06-03,10
REV10049,ORD105523,C14187,R1021,4.8,3.2,4.2,Hot food delivered on time. Thumbs up!,2023-09-20,1
REV10050,ORD120364,C10229,R2639,3.5,3.9,3.9,"Okay experience, may try again.",2021-07-06,26
REV10051,ORD141266,C16261,R1953,3.5,3.4,3.7,"Food was okay, nothing special.",2022-07-03,0
REV10052,ORD110963,C14919,R3721,4.1,4.4,3.9,Food arrived cold but tasted fine.,2023-03-28,3
REV10053,ORD136770,C10599,R2308,3.9,4.6,4.4,"Authentic flavours, highly recommended.",2022-02-10,4
REV10054,ORD102415,C12364,R2051,4.2,4.0,3.9,"Okay experience, may try again.",2021-03-19,3
REV10055,ORD102736,C10272,R2431,4.3,4.2,4.1,Portions were generous and flavourful.,2023-09-11,1
REV10056,ORD117833,C18149,R2673,4.3,4.3,4.2,Hot food delivered on time. Thumbs up!,2022-11-23,0
REV10057,ORD108572,C18292,R2981,4.6,2.6,4.3,Quick delivery and tasty food.,2022-02-22,5
REV10058,ORD115938,C18840,R1343,3.0,4.5,3.7,"Food was okay, nothing special.",2022-11-30,7
REV10059,ORD139637,C15039,R1800,3.2,4.6,3.7,"Okay experience, may try again.",2022-10-26,6
REV10060,ORD122120,C18560,R2178,4.6,3.5,4.1,"Very fresh ingredients, absolutely delicious.",2023-03-08,3
REV10061,ORD128949,C12486,R2898,3.8,3.6,3.9,Food arrived cold but tasted fine.,2023-07-28,16
REV10062,ORD129669,C18899,R3873,4.6,3.8,4.1,"Authentic flavours, highly recommended.",2023-01-16,0
REV10063,ORD145677,C17419,R3856,3.6,3.5,3.6,"Packaging was good, taste was okay.",2023-05-02,2
REV10064,ORD119556,C10175,R1417,3.1,3.1,3.2,Food arrived cold but tasted fine.,2021-02-02,19
REV10065,ORD142139,C13562,R2183,3.8,2.8,3.3,Delivery was late but food was good.,2021-03-13,2
REV10066,ORD138455,C15207,R1134,2.7,4.1,2.9,"Not fresh, smelled odd.",2023-12-10,1
REV10067,ORD108945,C13318,R1860,4.1,3.3,3.6,"Okay experience, may try again.",2023-03-03,5
REV10068,ORD148983,C19171,R3433,4.1,4.5,4.2,Hot food delivered on time. Thumbs up!,2021-01-05,6
REV10069,ORD104215,C12221,R1114,4.4,2.6,3.8,"Okay experience, may try again.",2023-06-11,0
REV10070,ORD134303,C12217,R1171,4.8,3.9,4.2,"Authentic flavours, highly recommended.",2023-03-21,5
REV10071,ORD126684,C15717,R1618,4.0,4.1,3.9,"Decent food, nothing extraordinary.",2021-04-09,4
REV10072,ORD136315,C13239,R2750,3.8,4.2,4.0,"Very fresh ingredients, absolutely delicious.",2023-03-03,0
REV10073,ORD130459,C14415,R2253,4.4,3.9,4.0,"Value for money, loved it.",2021-02-13,2
REV10074,ORD115940,C18229,R3768,3.9,4.7,4.0,Hot food delivered on time. Thumbs up!,2023-09-25,7
REV10075,ORD105096,C19420,R3891,4.8,2.6,3.9,"Could be better, but not bad.",2023-01-08,7
REV10076,ORD147909,C16201,R2304,2.8,4.1,3.1,Food arrived cold but tasted fine.,2023-11-22,0
REV10077,ORD120445,C19336,R3865,4.1,3.2,3.7,Food arrived cold but tasted fine.,2023-10-12,1
REV10078,ORD124576,C18920,R2195,4.0,4.2,4.1,Quick delivery and tasty food.,2022-07-04,0
REV10079,ORD100790,C15928,R2860,4.3,4.5,4.4,"Really loved the food, will order again!",2021-08-05,5
REV10080,ORD130607,C19731,R2341,4.7,4.3,4.7,"Very fresh ingredients, absolutely delicious.",2023-05-31,9
REV10081,ORD138602,C17619,R2895,4.6,4.1,4.5,Excellent food quality and packaging.,2022-06-17,3
REV10082,ORD149722,C13243,R2154,3.6,4.0,3.9,Delivery was late but food was good.,2023-08-26,0
REV10083,ORD115324,C15931,R3772,3.7,3.0,3.1,"Decent food, nothing extraordinary.",2021-05-10,1
REV10084,ORD125481,C17581,R3163,4.3,3.8,3.9,Food arrived cold but tasted fine.,2021-01-07,0
REV10085,ORD114381,C19635,R3031,4.7,4.4,4.3,Quick delivery and tasty food.,2021-08-18,1
REV10086,ORD104251,C13872,R1512,4.5,4.5,4.5,Excellent food quality and packaging.,2022-07-12,5
REV10087,ORD139211,C10594,R1068,3.9,3.5,3.6,"Decent food, nothing extraordinary.",2022-12-20,8
REV10088,ORD133972,C17566,R2587,4.3,3.8,4.1,Portions were generous and flavourful.,2023-07-09,7
REV10089,ORD135504,C11642,R3127,2.9,4.5,3.7,"Decent food, nothing extraordinary.",2021-05-22,0
REV10090,ORD136656,C12066,R1426,4.1,3.0,3.7,Delivery was late but food was good.,2021-06-06,2
REV10091,ORD149845,C11571,R2566,4.3,3.2,3.7,"Average food, expected more.",2021-02-13,0
REV10092,ORD100263,C14215,R2194,4.0,4.3,4.1,"Authentic flavours, highly recommended.",2022-12-10,1
REV10093,ORD110049,C15425,R3687,4.2,4.0,4.0,Quick delivery and tasty food.,2023-08-26,0
REV10094,ORD116067,C15090,R2647,4.4,3.6,4.1,Quick delivery and tasty food.,2021-07-31,6
REV10095,ORD143238,C16325,R1737,4.2,4.7,4.3,Quick delivery and tasty food.,2021-03-10,10
REV10096,ORD148787,C13397,R2189,4.7,3.2,3.9,"Packaging was good, taste was okay.",2022-02-19,7
REV10097,ORD119580,C17481,R1631,4.3,3.8,3.9,"Food was okay, nothing special.",2023-10-31,0
REV10098,ORD118949,C12269,R1050,4.3,3.9,4.4,Excellent food quality and packaging.,2021-03-08,5
REV10099,ORD124013,C11106,R1689,4.6,3.3,3.9,"Could be better, but not bad.",2021-08-22,2
REV10100,ORD146515,C16266,R1394,4.3,3.6,3.8,Food arrived cold but tasted fine.,2023-09-08,8
REV10101,ORD102266,C15915,R2527,4.4,4.1,4.4,"Really loved the food, will order again!",2023-07-23,0
REV10102,ORD101274,C19485,R3430,3.7,4.1,3.4,"Food was okay, nothing special.",2022-02-13,2
REV10103,ORD141579,C14847,R1310,4.0,4.7,4.8,Portions were generous and flavourful.,2021-04-03,9
REV10104,ORD136714,C18327,R2169,3.1,3.5,3.2,"Food was okay, nothing special.",2021-01-05,1
REV10105,ORD115924,C13200,R2377,4.9,4.4,4.9,"Value for money, loved it.",2023-03-02,2
REV10106,ORD131505,C12033,R1746,4.5,3.8,4.3,Excellent food quality and packaging.,2023-11-27,8
REV10107,ORD147682,C18200,R2377,3.5,3.3,3.3,"Decent food, nothing extraordinary.",2021-12-17,2
REV10108,ORD142327,C10436,R3050,4.2,4.7,4.7,"Really loved the food, will order again!",2023-03-18,1
REV10109,ORD109334,C18412,R2938,4.8,3.1,4.0,Portions were generous and flavourful.,2021-03-05,4
REV10110,ORD136900,C14692,R3805,3.8,4.4,3.9,"Could be better, but not bad.",2022-07-28,6
REV10111,ORD124049,C18731,R2639,3.4,4.6,3.9,"Average food, expected more.",2023-09-06,5
REV10112,ORD101566,C16672,R3973,4.1,3.9,3.9,Delivery was late but food was good.,2021-05-20,0
REV10113,ORD141318,C11447,R3402,3.8,4.1,4.2,"Authentic flavours, highly recommended.",2021-11-11,2
REV10114,ORD144712,C15717,R3420,3.9,3.4,3.9,Delivery was late but food was good.,2023-07-02,7
REV10115,ORD111973,C12652,R2647,3.6,3.0,3.3,Delivery was late but food was good.,2021-10-05,6
REV10116,ORD114867,C14238,R1310,4.4,3.2,3.7,"Okay experience, may try again.",2023-10-04,1
REV10117,ORD106737,C14883,R2853,3.9,3.6,4.1,"Value for money, loved it.",2023-08-14,1
REV10118,ORD131342,C15182,R3214,4.3,4.1,4.0,"Value for money, loved it.",2022-05-07,6
REV10119,ORD118622,C11349,R3412,3.6,4.1,3.8,"Decent food, nothing extraordinary.",2023-01-24,5
REV10120,ORD120981,C14829,R2072,4.4,3.1,3.8,"Packaging was good, taste was okay.",2022-10-13,0
REV10121,ORD135676,C15877,R3526,3.6,3.4,3.8,"Packaging was good, taste was okay.",2023-11-27,12
REV10122,ORD118991,C17255,R1967,4.6,3.1,4.3,"Very fresh ingredients, absolutely delicious.",2022-08-13,10
REV10123,ORD127715,C11747,R3451,4.4,4.6,4.3,Great taste and fast delivery.,2022-10-01,0
REV10124,ORD139365,C17100,R3241,3.5,4.0,3.8,"Packaging was good, taste was okay.",2022-12-31,0
REV10125,ORD105850,C17645,R1788,3.7,3.9,3.8,Food arrived cold but tasted fine.,2022-11-14,4
REV10126,ORD138435,C16822,R3260,4.6,3.5,3.7,"Average food, expected more.",2022-07-31,8
REV10127,ORD108307,C11353,R2351,4.4,1.7,3.5,"Packaging was good, taste was okay.",2022-07-21,2
REV10128,ORD102436,C14844,R1148,4.3,4.6,4.5,"Value for money, loved it.",2023-02-02,0
REV10129,ORD108393,C11401,R3182,4.2,4.6,4.2,"Value for money, loved it.",2023-02-28,7
REV10130,ORD148966,C12759,R2049,4.6,3.2,4.1,Great taste and fast delivery.,2021-05-14,5
REV10131,ORD109221,C12230,R3142,4.3,4.2,4.5,Great taste and fast delivery.,2022-10-29,0
REV10132,ORD129757,C16405,R1388,4.1,3.5,3.9,"Packaging was good, taste was okay.",2021-04-21,0
REV10133,ORD122569,C11486,R3458,3.4,3.1,3.3,"Food was okay, nothing special.",2021-11-22,4
REV10134,ORD106500,C17190,R3789,4.8,4.7,4.5,Quick delivery and tasty food.,2023-09-15,2
REV10135,ORD127903,C17966,R1489,4.7,3.1,3.8,"Could be better, but not bad.",2021-08-08,0
REV10136,ORD107164,C11402,R1625,4.5,3.6,4.2,Portions were generous and flavourful.,2022-09-09,2
REV10137,ORD131653,C12604,R1304,4.2,3.5,3.7,Food arrived cold but tasted fine.,2023-01-23,3
REV10138,ORD126454,C19734,R2789,4.4,4.6,4.5,"Very fresh ingredients, absolutely delicious.",2022-02-07,2
REV10139,ORD119694,C13046,R3445,4.3,3.3,3.8,"Average food, expected more.",2023-11-23,10
REV10140,ORD126633,C10377,R3065,3.4,4.3,3.6,"Packaging was good, taste was okay.",2021-03-16,12
REV10141,ORD106772,C10382,R2250,3.8,3.7,3.6,"Average food, expected more.",2021-06-22,7
REV10142,ORD123137,C13944,R3102,3.6,3.8,3.5,"Packaging was good, taste was okay.",2021-03-25,3
REV10143,ORD125506,C17746,R1948,4.8,2.8,3.8,"Average food, expected more.",2021-07-08,9
REV10144,ORD140222,C11859,R2276,4.2,4.2,3.8,Delivery was late but food was good.,2023-08-12,5
REV10145,ORD111440,C16057,R2466,4.6,4.6,4.8,"Value for money, loved it.",2023-01-06,1
REV10146,ORD103380,C17260,R3496,4.4,3.5,4.5,"Very fresh ingredients, absolutely delicious.",2023-11-21,6
REV10147,ORD141839,C19631,R1456,3.4,4.0,3.5,"Okay experience, may try again.",2021-09-25,4
REV10148,ORD129572,C13826,R1265,4.4,4.4,4.3,Portions were generous and flavourful.,2023-11-04,3
REV10149,ORD139370,C18421,R3378,4.2,4.6,4.5,Portions were generous and flavourful.,2021-09-09,0
REV10150,ORD142899,C13990,R3926,4.1,4.4,4.2,Hot food delivered on time. Thumbs up!,2022-01-21,4
REV10151,ORD104356,C15825,R3145,4.6,4.0,4.0,"Value for money, loved it.",2023-04-23,0
REV10152,ORD138451,C16552,R1799,2.6,3.8,2.9,"Not fresh, smelled odd.",2021-10-31,5
REV10153,ORD149182,C14739,R1944,3.9,2.8,3.6,"Could be better, but not bad.",2022-04-30,2
REV10154,ORD113893,C17645,R3144,4.1,3.6,3.6,"Okay experience, may try again.",2023-04-26,2
REV10155,ORD103196,C11806,R3452,4.1,3.2,3.7,Food arrived cold but tasted fine.,2023-07-06,2
REV10156,ORD115134,C12316,R2551,4.1,3.6,4.0,Portions were generous and flavourful.,2021-08-29,1
REV10157,ORD133445,C13027,R2946,4.5,4.4,4.5,"Authentic flavours, highly recommended.",2021-09-04,1
REV10158,ORD138131,C11313,R1067,4.6,3.0,4.1,Quick delivery and tasty food.,2023-09-03,4
REV10159,ORD148186,C18343,R3461,4.5,4.6,4.3,"Authentic flavours, highly recommended.",2022-02-19,2
REV10160,ORD100703,C10796,R1938,4.4,3.4,4.1,"Authentic flavours, highly recommended.",2021-06-11,5
REV10161,ORD120261,C11306,R2065,3.0,2.4,2.9,"Not fresh, smelled odd.",2023-10-28,3
REV10162,ORD108253,C16498,R2434,4.5,3.3,4.4,"Authentic flavours, highly recommended.",2023-10-26,9
REV10163,ORD144512,C14357,R1976,4.2,3.3,3.6,"Packaging was good, taste was okay.",2023-07-15,0
REV10164,ORD144979,C17171,R3910,3.9,3.2,3.7,Delivery was late but food was good.,2023-04-14,1
REV10165,ORD130222,C19403,R2999,4.2,2.9,3.8,"Decent food, nothing extraordinary.",2023-02-08,0
REV10166,ORD101768,C12137,R1849,4.2,3.0,3.7,"Average food, expected more.",2023-02-05,2
REV10167,ORD127856,C18709,R1838,4.6,4.2,4.6,One of the best in the area!,2021-04-06,0
REV10168,ORD103096,C15950,R3780,4.4,3.6,4.2,One of the best in the area!,2021-12-30,3
REV10169,ORD123821,C16772,R1750,4.9,4.0,4.5,"Value for money, loved it.",2022-01-26,1
REV10170,ORD141862,C16302,R2783,4.9,3.6,4.6,Quick delivery and tasty food.,2021-03-27,11
REV10171,ORD128613,C14463,R2248,3.8,2.7,3.6,"Decent food, nothing extraordinary.",2021-06-25,6
REV10172,ORD131069,C19315,R2824,4.0,4.2,4.2,Excellent food quality and packaging.,2022-11-05,1
REV10173,ORD144809,C12114,R1652,3.2,3.5,3.6,"Could be better, but not bad.",2022-09-22,8
REV10174,ORD117146,C19451,R3123,4.7,4.4,4.4,Quick delivery and tasty food.,2023-08-02,0
REV10175,ORD128848,C17047,R3525,4.7,4.0,4.4,Great taste and fast delivery.,2022-02-24,1
REV10176,ORD140477,C19150,R2054,4.3,4.7,4.1,"Authentic flavours, highly recommended.",2022-09-17,6
REV10177,ORD137425,C10670,R1342,4.3,2.4,3.4,"Decent food, nothing extraordinary.",2022-05-07,0
REV10178,ORD126014,C13005,R1163,4.7,3.7,4.5,"Value for money, loved it.",2023-09-26,7
REV10179,ORD116599,C11115,R1180,4.8,3.4,4.6,Quick delivery and tasty food.,2022-03-08,0
REV10180,ORD116665,C18239,R1813,4.5,4.6,4.3,Portions were generous and flavourful.,2022-11-03,7
REV10181,ORD110803,C14165,R2472,4.4,3.9,4.2,"Very fresh ingredients, absolutely delicious.",2021-12-29,4
REV10182,ORD138279,C11487,R3000,4.0,4.4,4.2,"Very fresh ingredients, absolutely delicious.",2023-12-25,4
REV10183,ORD100971,C17331,R1582,4.4,3.5,4.0,Excellent food quality and packaging.,2022-06-28,3
REV10184,ORD129537,C16376,R2772,4.4,3.1,3.9,"Okay experience, may try again.",2022-07-13,0
REV10185,ORD144103,C19387,R2083,4.0,2.6,3.0,"Okay experience, may try again.",2022-08-04,4
REV10186,ORD112101,C11391,R2507,4.7,3.9,4.7,"Value for money, loved it.",2021-03-13,0
REV10187,ORD121251,C14370,R1499,3.4,4.3,3.9,"Packaging was good, taste was okay.",2021-08-05,4
REV10188,ORD137099,C14213,R2866,4.3,2.8,3.2,"Food was okay, nothing special.",2022-10-03,0
REV10189,ORD137484,C19556,R2769,4.0,4.1,4.4,Quick delivery and tasty food.,2022-07-06,0
REV10190,ORD122503,C14238,R2990,3.7,4.7,3.9,"Decent food, nothing extraordinary.",2022-06-13,4
REV10191,ORD140475,C15544,R2278,4.3,4.3,4.3,"Value for money, loved it.",2023-03-23,5
REV10192,ORD145526,C16644,R2575,4.4,4.6,4.4,Excellent food quality and packaging.,2023-04-30,0
REV10193,ORD130767,C16642,R2833,4.4,4.1,4.6,Quick delivery and tasty food.,2021-04-07,1
REV10194,ORD120038,C18740,R2902,3.7,4.0,4.0,"Very fresh ingredients, absolutely delicious.",2023-05-03,3
REV10195,ORD107575,C19814,R3189,4.3,3.5,4.1,Hot food delivered on time. Thumbs up!,2023-12-30,21
REV10196,ORD145071,C19444,R3620,4.2,4.3,4.4,"Authentic flavours, highly recommended.",2022-05-29,6
REV10197,ORD121868,C11385,R1007,3.9,4.2,4.0,One of the best in the area!,2022-02-28,2
REV10198,ORD126451,C19553,R3015,3.6,3.3,3.3,"Okay experience, may try again.",2022-12-08,10
REV10199,ORD142301,C12951,R2698,4.7,4.4,4.5,"Authentic flavours, highly recommended.",2023-01-15,0
REV10200,ORD104164,C19824,R2304,4.8,4.3,4.9,One of the best in the area!,2022-11-20,2
REV10201,ORD104940,C12394,R3260,3.5,4.1,3.7,"Could be better, but not bad.",2023-05-04,2
REV10202,ORD127485,C10999,R2862,3.7,3.9,3.7,"Decent food, nothing extraordinary.",2023-11-16,0
REV10203,ORD148933,C14559,R2422,4.5,3.5,4.3,Quick delivery and tasty food.,2021-10-26,3
REV10204,ORD131187,C11066,R2023,4.4,4.6,4.5,"Very fresh ingredients, absolutely delicious.",2021-11-08,2
REV10205,ORD104793,C13101,R3086,2.9,3.6,3.2,Food arrived cold but tasted fine.,2021-08-13,0
REV10206,ORD133856,C15446,R3307,4.1,4.0,4.0,"Authentic flavours, highly recommended.",2022-03-28,3
REV10207,ORD111162,C15620,R1042,4.3,3.4,4.2,Great taste and fast delivery.,2023-06-27,2
REV10208,ORD145074,C14971,R1105,4.1,3.5,3.4,"Packaging was good, taste was okay.",2022-04-08,0
REV10209,ORD124223,C16531,R3727,4.6,3.4,3.9,"Could be better, but not bad.",2021-06-26,5
REV10210,ORD118036,C18512,R1963,4.5,4.5,4.4,One of the best in the area!,2022-04-20,3
REV10211,ORD133170,C11221,R2300,4.4,3.2,4.0,"Value for money, loved it.",2023-09-05,8
REV10212,ORD133754,C19997,R3020,3.4,4.4,3.6,"Packaging was good, taste was okay.",2021-11-15,4
REV10213,ORD120176,C17979,R3578,4.7,4.4,4.5,Portions were generous and flavourful.,2023-06-07,2
REV10214,ORD142829,C15700,R3720,4.7,3.0,4.1,Hot food delivered on time. Thumbs up!,2022-07-23,0
REV10215,ORD110264,C14637,R1896,4.9,4.2,4.8,Hot food delivered on time. Thumbs up!,2021-11-23,1
REV10216,ORD133277,C17881,R3297,4.7,4.3,4.5,Great taste and fast delivery.,2021-07-27,0
REV10217,ORD120997,C11892,R2794,4.6,2.4,3.8,"Okay experience, may try again.",2022-12-25,9
REV10218,ORD110955,C11951,R3717,4.2,3.5,4.0,Quick delivery and tasty food.,2023-09-23,4
REV10219,ORD118425,C14912,R3136,4.6,3.4,4.1,Great taste and fast delivery.,2021-01-26,3
REV10220,ORD119918,C18297,R1109,4.8,3.6,4.3,"Very fresh ingredients, absolutely delicious.",2023-08-27,0
REV10221,ORD111863,C14702,R2495,4.3,3.7,3.8,"Could be better, but not bad.",2022-04-11,8
REV10222,ORD139700,C16508,R3487,4.1,3.2,3.8,"Average food, expected more.",2022-05-04,11
REV10223,ORD103641,C16697,R2611,3.5,3.2,3.7,"Packaging was good, taste was okay.",2021-10-15,3
REV10224,ORD146853,C18080,R3084,4.3,4.0,4.3,One of the best in the area!,2022-12-02,7
REV10225,ORD134199,C17642,R3167,4.4,4.6,4.6,"Value for money, loved it.",2021-11-15,4
REV10226,ORD149002,C11119,R2766,4.9,3.2,4.1,One of the best in the area!,2022-01-09,2
REV10227,ORD143103,C16390,R3265,3.8,3.8,3.9,"Average food, expected more.",2021-06-13,8
REV10228,ORD144733,C11226,R3782,3.4,4.8,4.1,Portions were generous and flavourful.,2022-08-27,3
REV10229,ORD120958,C13660,R2609,4.5,2.9,3.9,"Average food, expected more.",2022-11-21,0
REV10230,ORD131612,C19493,R3000,3.9,2.5,3.2,"Packaging was good, taste was okay.",2023-04-01,1
REV10231,ORD148374,C19164,R1906,4.6,4.7,4.5,"Really loved the food, will order again!",2022-01-18,5
REV10232,ORD122042,C14608,R3789,4.5,3.0,3.9,"Could be better, but not bad.",2021-05-30,0
REV10233,ORD100884,C15173,R1502,3.8,3.8,3.8,"Average food, expected more.",2021-05-23,2
REV10234,ORD114902,C15377,R1032,4.7,3.4,4.2,"Authentic flavours, highly recommended.",2023-07-07,6
REV10235,ORD105246,C17589,R2720,3.7,2.5,3.3,"Packaging was good, taste was okay.",2023-08-24,2
REV10236,ORD118204,C12632,R2110,4.2,3.2,3.6,"Average food, expected more.",2021-11-23,6
REV10237,ORD140834,C16322,R2013,4.2,3.9,4.0,"Authentic flavours, highly recommended.",2022-04-13,1
REV10238,ORD100641,C16876,R1606,3.3,3.9,3.5,Delivery was late but food was good.,2023-07-18,1
REV10239,ORD115844,C15800,R3943,4.5,4.5,4.7,Excellent food quality and packaging.,2021-04-04,0
REV10240,ORD118426,C16428,R1245,4.7,4.6,4.7,Portions were generous and flavourful.,2021-10-06,0
REV10241,ORD131097,C19892,R1405,3.7,4.8,4.5,"Value for money, loved it.",2022-05-02,8
REV10242,ORD149994,C15394,R1681,4.4,3.8,4.1,"Very fresh ingredients, absolutely delicious.",2021-01-28,1
REV10243,ORD111041,C19364,R3118,4.3,4.1,4.0,Portions were generous and flavourful.,2021-10-18,5
REV10244,ORD138867,C16862,R2707,3.8,4.3,4.3,Excellent food quality and packaging.,2021-01-03,12
REV10245,ORD102304,C12435,R3396,4.3,4.5,4.5,Portions were generous and flavourful.,2023-06-10,0
REV10246,ORD114685,C13659,R3031,2.9,3.8,3.2,"Could be better, but not bad.",2021-06-08,1
REV10247,ORD115559,C17813,R3405,4.5,2.5,3.8,"Decent food, nothing extraordinary.",2023-01-19,1
REV10248,ORD127624,C10824,R2283,4.8,4.5,4.6,Great taste and fast delivery.,2021-06-09,10
REV10249,ORD132410,C14918,R3739,3.6,4.0,4.0,One of the best in the area!,2022-06-15,11
REV10250,ORD102754,C10194,R1153,4.9,3.6,4.3,"Value for money, loved it.",2022-04-18,0
REV10251,ORD114441,C13387,R2486,4.2,2.8,3.5,Delivery was late but food was good.,2022-05-04,5
REV10252,ORD118512,C10216,R2602,4.1,3.7,3.7,"Okay experience, may try again.",2023-12-15,0
REV10253,ORD128146,C18135,R3744,4.8,3.7,4.2,"Authentic flavours, highly recommended.",2021-09-28,17
REV10254,ORD123104,C12190,R2766,4.6,3.8,4.3,Excellent food quality and packaging.,2023-11-02,1
REV10255,ORD128617,C17995,R3849,4.4,4.2,4.2,"Really loved the food, will order again!",2023-09-21,3
REV10256,ORD105662,C17039,R1458,4.6,4.6,4.3,One of the best in the area!,2022-05-28,3
REV10257,ORD138303,C12547,R1356,4.5,3.0,4.0,Great taste and fast delivery.,2021-09-04,1
REV10258,ORD107610,C11176,R2937,4.2,4.8,4.3,"Authentic flavours, highly recommended.",2023-08-03,2
REV10259,ORD149433,C10648,R1939,4.7,3.7,3.8,"Average food, expected more.",2021-10-01,11
